id,tags,rooms,price,is_exclusive,highlighting_level,estate_type,area,address,latitude,longitude,new_bedrooms_count
3680995,"6 pièces, 4 chambres, 166 m², Étage 1/2, Terrasse, Box",6,4270,t,2,Appartement,164.23076923076923,Saint-Germain-en-Laye,48.8990413,2.0942792,4
4118349,"3 pièces, 2 chambres, 69 m², Étage 5/5, Ascenseur",3,3000,f,2,Appartement,68.18181818181819,Paris 8ème,48.8670978,2.3131224,2
4431473,"4 pièces, 3 chambres, 143 m², Étage 4/–, Ascenseur",4,4700,f,3,Appartement,142.42424242424244,Paris 8ème,48.8670978,2.3131224,3
4719497,"2 pièces, 1 chambre, 40 m², Étage 0/2",2,995,t,2,Appartement,39.8,Rueil-Malmaison,48.87778,2.1802832,0
4785825,"4 pièces, 3 chambres, 86 m², Étage 3/–",4,2325,f,2,Appartement,86.11111111111111,Courbevoie,48.8953328,2.2561602,3
4793602,"2 pièces, 1 chambre, 42 m², Étage 0/4, Balcon, Parking, Ascenseur",2,1067,t,2,Appartement,42.68,Sèvres,48.8247407,2.2127083,0
4802533,"4 pièces, 3 chambres, 98 m², Étage 0/7, Ascenseur",4,4620,f,3,Appartement,98.29787234042551,Paris 16ème,48.856779,2.2724945,3
4809155,"1 pièce, 20 m², Étage 2/0",1,600,f,3,Studio,20.0,Montreuil,50.4638918,1.7631125,0
4809231,"5 pièces, 3 chambres, 171 m², Étage 2/0, Balcon",5,5500,f,2,Appartement,171.875,Paris 16ème,48.856779,2.2724945,3
4809243,"3 pièces, 2 chambres, 46 m², Étage 1/–",3,900,f,2,Appartement,45.0,Champigny-sur-Marne,48.8137759,2.5107384,2
4809275,"4 pièces, 3 chambres, 95 m², Étage 2/0, Balcon, Parking, Ascenseur",4,2500,t,2,Appartement,96.15384615384616,Paris 12ème,48.8420454,2.3962685,3
2752302,"1 pièce, 24 m², Étage 1/2",1,550,t,2,Studio,23.91304347826087,Saint-Ouen-l'Aumône,49.0992941,2.1513278430408262,0
4279015,"4 pièces, 2 chambres, 86 m², Étage 8/–, Ascenseur",4,2800,f,2,Appartement,87.5,Paris 13ème,48.8255921,2.3503376,2
4346761,"5 pièces, 3 chambres, 120 m², Étage 0/–, Parking",5,4350,f,2,Appartement,120.83333333333331,Paris 16ème,48.856779,2.2724945,3
4507216,"1 pièce, 19 m², Étage 0/6",1,850,t,2,Studio,18.47826086956522,Paris 13ème,48.8255921,2.3503376,0
4518296,"2 pièces, 1 chambre, 55 m², Étage 1/–, Jardin, Ascenseur",2,2090,f,2,Appartement,55.0,Paris 13ème,48.8255921,2.3503376,0
4639540,"1 pièce, 31 m², Étage 1/2, 2 balcons, Jardin",1,550,t,2,Studio,30.55555555555556,Dammarie-les-Lys,48.5150876,2.6347018,0
4719873,"1 pièce, 23 m², Étage 9/–, Ascenseur",1,880,f,2,Studio,23.157894736842103,Créteil,48.7771486,2.4530731,0
4786150,"1 pièce, 28 m², Étage 6/8, Balcon, Ascenseur",1,850,t,2,Studio,28.33333333333333,Saint-Cloud,48.8437412,2.219344,0
4803581,"2 pièces, 1 chambre, 43 m², Étage 0/0, Balcon",2,879,f,2,Appartement,41.85714285714285,Villeparisis,48.939344,2.6176193,0
4803682,"3 pièces, 2 chambres, 66 m², Étage 3/0, Balcon",3,1091,t,2,Appartement,68.1875,L'Isle-Adam,49.1125294,2.2186324,2
4803719,"2 pièces, 1 chambre, 40 m², Étage 1/–, Parking, Ascenseur",2,986,t,2,Appartement,39.44,Neuilly-Plaisance,48.8608712,2.5060144,0
4809244,"6 pièces, 1 chambre, 317 m², Étage 4/6, Ascenseur",6,21500,f,2,Appartement,316.1764705882353,Paris 16ème,48.856779,2.2724945,0
4809819,"2 pièces, 1 chambre, 51 m², Étage 4/–, Ascenseur",2,1159,f,2,Appartement,50.391304347826086,Ville-d'Avray,48.8279362,2.1894241,0
